case_id,xai_method,perturbation_percentile,original_logit,original_prob,deletion_logit,deletion_prob,deletion_prob_drop,deletion_logit_drop,insertion_logit,insertion_prob,insertion_prob_retained
topaneu_center1_mr_308,random_control,1,0.0564,0.5141,0.0912,0.5228,-0.0087,-0.0348,-1.7106,0.1531,0.1531
topaneu_center1_mr_308,random_control,5,0.0564,0.5141,0.076,0.519,-0.0049,-0.0196,-1.2842,0.2168,0.2168
topaneu_center1_mr_308,random_control,10,0.0564,0.5141,0.3454,0.5855,-0.0714,-0.2891,-0.44,0.3917,0.3917
topaneu_center1_mr_325,gradcam,1,2.2673,0.9061,2.174,0.8979,0.0082,0.0933,0.8446,0.6994,0.6994
topaneu_center1_mr_325,gradcam,5,2.2673,0.9061,2.4258,0.9188,-0.0126,-0.1585,0.4077,0.6005,0.6005
topaneu_center1_mr_325,gradcam,10,2.2673,0.9061,2.4415,0.9199,-0.0138,-0.1742,-0.1367,0.4659,0.4659
topaneu_center1_mr_325,cross_attention,1,2.2673,0.9061,0.2053,0.5511,0.355,2.062,2.3544,0.9133,0.9133
topaneu_center1_mr_325,cross_attention,5,2.2673,0.9061,1.3406,0.7926,0.1135,0.9267,1.4772,0.8141,0.8141
topaneu_center1_mr_325,cross_attention,10,2.2673,0.9061,0.4238,0.6044,0.3017,1.8435,-0.529,0.3708,0.3708
topaneu_center1_mr_325,integrated_gradients,1,2.2673,0.9061,0.5939,0.6443,0.2619,1.6734,0.2204,0.5549,0.5549
topaneu_center1_mr_325,integrated_gradients,5,2.2673,0.9061,1.9293,0.8732,0.033,0.3381,1.0655,0.7437,0.7437
topaneu_center1_mr_325,integrated_gradients,10,2.2673,0.9061,-1.2383,0.2247,0.6814,3.5056,-0.6999,0.3318,0.3318
topaneu_center1_mr_325,random_control,1,2.2673,0.9061,2.2309,0.903,0.0031,0.0364,-1.7467,0.1485,0.1485
topaneu_center1_mr_325,random_control,5,2.2673,0.9061,2.4863,0.9232,-0.017,-0.219,-1.5532,0.1746,0.1746
topaneu_center1_mr_325,random_control,10,2.2673,0.9061,2.6187,0.9321,-0.0259,-0.3514,-1.6876,0.1561,0.1561
topaneu_center1_mr_342,gradcam,1,0.6126,0.6485,0.8114,0.6924,-0.0439,-0.1988,-0.7358,0.3239,0.3239
topaneu_center1_mr_342,gradcam,5,0.6126,0.6485,0.8887,0.7086,-0.0601,-0.2761,-0.9149,0.286,0.286
topaneu_center1_mr_342,gradcam,10,0.6126,0.6485,0.6169,0.6495,-0.001,-0.0043,-0.6018,0.3539,0.3539
topaneu_center1_mr_342,cross_attention,1,0.6126,0.6485,-1.7928,0.1427,0.5058,2.4053,0.1425,0.5356,0.5356
topaneu_center1_mr_342,cross_attention,5,0.6126,0.6485,0.2202,0.5548,0.0937,0.3923,-0.8219,0.3054,0.3054
topaneu_center1_mr_342,cross_attention,10,0.6126,0.6485,1.3027,0.7863,-0.1378,-0.6901,-1.9903,0.1202,0.1202
topaneu_center1_mr_342,integrated_gradients,1,0.6126,0.6485,-1.9805,0.1213,0.5273,2.593,0.9369,0.7185,0.7185
topaneu_center1_mr_342,integrated_gradients,5,0.6126,0.6485,-0.0198,0.4951,0.1535,0.6323,-1.3678,0.203,0.203
topaneu_center1_mr_342,integrated_gradients,10,0.6126,0.6485,-1.703,0.1541,0.4945,2.3156,-1.918,0.1281,0.1281
topaneu_center1_mr_342,random_control,1,0.6126,0.6485,0.3531,0.5874,0.0612,0.2594,-1.5873,0.1698,0.1698
topaneu_center1_mr_342,random_control,5,0.6126,0.6485,-0.7105,0.3295,0.319,1.3231,0.7051,0.6693,0.6693
topaneu_center1_mr_342,random_control,10,0.6126,0.6485,-1.1618,0.2383,0.4102,1.7743,1.7299,0.8494,0.8494
topaneu_center1_mr_528,gradcam,1,0.5427,0.6324,0.549,0.6339,-0.0015,-0.0063,0.3912,0.5966,0.5966
topaneu_center1_mr_528,gradcam,5,0.5427,0.6324,0.6071,0.6473,-0.0148,-0.0644,-0.2579,0.4359,0.4359
topaneu_center1_mr_528,gradcam,10,0.5427,0.6324,0.6341,0.6534,-0.021,-0.0915,-0.5494,0.366,0.366
topaneu_center1_mr_528,cross_attention,1,0.5427,0.6324,0.0716,0.5179,0.1145,0.471,0.1659,0.5414,0.5414
topaneu_center1_mr_528,cross_attention,5,0.5427,0.6324,1.3796,0.7989,-0.1665,-0.8369,0.5166,0.6263,0.6263
topaneu_center1_mr_528,cross_attention,10,0.5427,0.6324,-1.6054,0.1672,0.4652,2.1481,1.4567,0.811,0.811
topaneu_center1_mr_528,integrated_gradients,1,0.5427,0.6324,0.3333,0.5826,0.0499,0.2093,0.5336,0.6303,0.6303
topaneu_center1_mr_528,integrated_gradients,5,0.5427,0.6324,-1.2101,0.2297,0.4028,1.7528,0.1011,0.5253,0.5253
topaneu_center1_mr_528,integrated_gradients,10,0.5427,0.6324,-1.7843,0.1438,0.4887,2.327,1.5288,0.8218,0.8218
topaneu_center1_mr_528,random_control,1,0.5427,0.6324,0.4511,0.6109,0.0215,0.0916,-1.1749,0.236,0.236
topaneu_center1_mr_528,random_control,5,0.5427,0.6324,0.6093,0.6478,-0.0153,-0.0666,-1.0715,0.2551,0.2551
topaneu_center1_mr_528,random_control,10,0.5427,0.6324,0.4207,0.6037,0.0288,0.1219,-1.2738,0.2186,0.2186
topaneu_center1_mr_682,gradcam,1,-0.0248,0.4938,0.1617,0.5403,-0.0465,-0.1865,1.6543,0.8395,0.8395
topaneu_center1_mr_682,gradcam,5,-0.0248,0.4938,0.2304,0.5573,-0.0635,-0.2551,-0.1495,0.4627,0.4627
topaneu_center1_mr_682,gradcam,10,-0.0248,0.4938,1.0539,0.7415,-0.2477,-1.0787,0.9602,0.7232,0.7232
topaneu_center1_mr_682,cross_attention,1,-0.0248,0.4938,-0.4318,0.3937,0.1001,0.407,2.8577,0.9457,0.9457
topaneu_center1_mr_682,cross_attention,5,-0.0248,0.4938,1.6324,0.8365,-0.3427,-1.6571,1.2436,0.7762,0.7762
topaneu_center1_mr_682,cross_attention,10,-0.0248,0.4938,-0.6413,0.345,0.1489,0.6165,-1.5794,0.1709,0.1709
topaneu_center1_mr_682,integrated_gradients,1,-0.0248,0.4938,-0.2048,0.449,0.0448,0.18,1.9891,0.8797,0.8797
topaneu_center1_mr_682,integrated_gradients,5,-0.0248,0.4938,-1.501,0.1823,0.3115,1.4763,0.3929,0.597,0.597
topaneu_center1_mr_682,integrated_gradients,10,-0.0248,0.4938,-0.4145,0.3978,0.096,0.3897,-1.3501,0.2059,0.2059
topaneu_center1_mr_682,random_control,1,-0.0248,0.4938,0.2068,0.5515,-0.0577,-0.2315,-1.6964,0.1549,0.1549
topaneu_center1_mr_682,random_control,5,-0.0248,0.4938,0.0953,0.5238,-0.03,-0.1201,-1.5136,0.1804,0.1804
topaneu_center1_mr_682,random_control,10,-0.0248,0.4938,0.3901,0.5963,-0.1025,-0.4149,-1.4669,0.1874,0.1874
topaneu_center1_mr_789,gradcam,1,0.4233,0.6043,0.5078,0.6243,-0.02,-0.0845,0.4773,0.6171,0.6171
topaneu_center1_mr_789,gradcam,5,0.4233,0.6043,0.5438,0.6327,-0.0284,-0.1205,0.1276,0.5319,0.5319
topaneu_center1_mr_789,gradcam,10,0.4233,0.6043,0.7628,0.682,-0.0777,-0.3395,-0.404,0.4003,0.4003
topaneu_center1_mr_789,cross_attention,1,0.4233,0.6043,1.4399,0.8084,-0.2042,-1.0166,0.8357,0.6976,0.6976
topaneu_center1_mr_789,cross_attention,5,0.4233,0.6043,1.2521,0.7777,-0.1734,-0.8288,-0.7454,0.3218,0.3218
topaneu_center1_mr_789,cross_attention,10,0.4233,0.6043,-1.5636,0.1731,0.4311,1.9869,-0.2321,0.4422,0.4422
topaneu_center1_mr_789,integrated_gradients,1,0.4233,0.6043,2.3465,0.9127,-0.3084,-1.9232,1.2759,0.7817,0.7817
topaneu_center1_mr_789,integrated_gradients,5,0.4233,0.6043,0.9591,0.7229,-0.1187,-0.5358,0.1855,0.5462,0.5462
topaneu_center1_mr_789,integrated_gradients,10,0.4233,0.6043,-1.6267,0.1643,0.44,2.0499,0.065,0.5162,0.5162
topaneu_center1_mr_789,random_control,1,0.4233,0.6043,0.4677,0.6148,-0.0106,-0.0444,-1.6949,0.1551,0.1551
topaneu_center1_mr_789,random_control,5,0.4233,0.6043,0.5317,0.6299,-0.0256,-0.1084,-1.3773,0.2014,0.2014
topaneu_center1_mr_789,random_control,10,0.4233,0.6043,0.3155,0.5782,0.026,0.1078,4.4845,0.9888,0.9888
topaneu_center1_mr_892,gradcam,1,1.6058,0.8328,1.5829,0.8296,0.0032,0.0229,1.8952,0.8693,0.8693
topaneu_center1_mr_892,gradcam,5,1.6058,0.8328,1.4698,0.813,0.0198,0.136,0.3159,0.5783,0.5783
topaneu_center1_mr_892,gradcam,10,1.6058,0.8328,1.5414,0.8237,0.0092,0.0644,-0.2356,0.4414,0.4414
topaneu_center1_mr_892,cross_attention,1,1.6058,0.8328,4.1966,0.9852,-0.1523,-2.5908,0.8237,0.695,0.695
topaneu_center1_mr_892,cross_attention,5,1.6058,0.8328,-1.0436,0.2604,0.5724,2.6495,0.3658,0.5904,0.5904
topaneu_center1_mr_892,cross_attention,10,1.6058,0.8328,1.989,0.8796,-0.0468,-0.3832,0.1287,0.5321,0.5321
topaneu_center1_mr_892,integrated_gradients,1,1.6058,0.8328,4.4751,0.9887,-0.1559,-2.8693,1.1316,0.7561,0.7561
topaneu_center1_mr_892,integrated_gradients,5,1.6058,0.8328,0.9043,0.7118,0.121,0.7015,0.1529,0.5382,0.5382
topaneu_center1_mr_892,integrated_gradients,10,1.6058,0.8328,2.2828,0.9074,-0.0746,-0.677,0.3522,0.5871,0.5871
topaneu_center1_mr_892,random_control,1,1.6058,0.8328,1.7267,0.849,-0.0162,-0.1209,-1.8175,0.1397,0.1397
topaneu_center1_mr_892,random_control,5,1.6058,0.8328,0.7006,0.6683,0.1645,0.9052,-0.2288,0.443,0.443
topaneu_center1_mr_892,random_control,10,1.6058,0.8328,0.8313,0.6966,0.1362,0.7745,-0.5467,0.3666,0.3666
topaneu_center1_mr_991,gradcam,1,-0.3707,0.4084,-0.3612,0.4107,-0.0023,-0.0095,0.1587,0.5396,0.5396
topaneu_center1_mr_991,gradcam,5,-0.3707,0.4084,0.2171,0.5541,-0.1457,-0.5878,-0.4828,0.3816,0.3816
topaneu_center1_mr_991,gradcam,10,-0.3707,0.4084,0.2516,0.5626,-0.1542,-0.6223,-1.0151,0.266,0.266
topaneu_center1_mr_991,cross_attention,1,-0.3707,0.4084,-1.1189,0.2462,0.1622,0.7482,-1.8427,0.1367,0.1367
topaneu_center1_mr_991,cross_attention,5,-0.3707,0.4084,-1.3211,0.2106,0.1977,0.9504,0.0358,0.509,0.509
topaneu_center1_mr_991,cross_attention,10,-0.3707,0.4084,-1.6766,0.1576,0.2508,1.3059,-1.0733,0.2548,0.2548
topaneu_center1_mr_991,integrated_gradients,1,-0.3707,0.4084,-1.135,0.2432,0.1651,0.7643,-1.8794,0.1325,0.1325
topaneu_center1_mr_991,integrated_gradients,5,-0.3707,0.4084,-1.5208,0.1793,0.229,1.1501,0.5675,0.6382,0.6382
topaneu_center1_mr_991,integrated_gradients,10,-0.3707,0.4084,-1.6125,0.1662,0.2421,1.2418,2.3586,0.9136,0.9136
topaneu_center1_mr_991,random_control,1,-0.3707,0.4084,-0.4793,0.3824,0.0259,0.1086,-1.655,0.1604,0.1604
topaneu_center1_mr_991,random_control,5,-0.3707,0.4084,-0.3287,0.4186,-0.0102,-0.042,-1.3386,0.2077,0.2077
topaneu_center1_mr_991,random_control,10,-0.3707,0.4084,0.1914,0.5477,-0.1393,-0.5621,-0.2339,0.4418,0.4418
topaneu_center2_ct_125,gradcam,1,-1.1169,0.2466,-2.3179,0.0897,0.1569,1.201,-1.1169,0.2466,0.2466
topaneu_center2_ct_125,gradcam,5,-1.1169,0.2466,-2.3179,0.0897,0.1569,1.201,-1.1169,0.2466,0.2466
topaneu_center2_ct_125,gradcam,10,-1.1169,0.2466,-2.3179,0.0897,0.1569,1.201,-1.1169,0.2466,0.2466
topaneu_center2_ct_125,cross_attention,1,-1.1169,0.2466,-1.4929,0.1835,0.0631,0.376,-1.2398,0.2245,0.2245
topaneu_center2_ct_125,cross_attention,5,-1.1169,0.2466,-1.2419,0.2241,0.0225,0.125,2.1895,0.8993,0.8993
topaneu_center2_ct_125,cross_attention,10,-1.1169,0.2466,-0.5118,0.3748,-0.1282,-0.605,0.4182,0.6031,0.6031
topaneu_center2_ct_125,integrated_gradients,1,-1.1169,0.2466,-1.5297,0.178,0.0686,0.4128,2.2374,0.9036,0.9036
topaneu_center2_ct_125,integrated_gradients,5,-1.1169,0.2466,-1.566,0.1728,0.0738,0.4492,-0.4608,0.3868,0.3868
topaneu_center2_ct_125,integrated_gradients,10,-1.1169,0.2466,-1.2429,0.2239,0.0227,0.1261,-0.4024,0.4007,0.4007
topaneu_center2_ct_125,random_control,1,-1.1169,0.2466,-0.7821,0.3139,-0.0673,-0.3348,-2.1256,0.1066,0.1066
topaneu_center2_ct_125,random_control,5,-1.1169,0.2466,-0.0449,0.4888,-0.2422,-1.072,-1.7921,0.1428,0.1428
topaneu_center2_ct_125,random_control,10,-1.1169,0.2466,0.0509,0.5127,-0.2661,-1.1678,-2.135,0.1057,0.1057
topaneu_center2_ct_134,gradcam,1,-2.5271,0.074,-2.1382,0.1054,-0.0315,-0.3889,-1.2712,0.2191,0.2191
topaneu_center2_ct_134,gradcam,5,-2.5271,0.074,-2.0147,0.1177,-0.0437,-0.5124,-1.6044,0.1674,0.1674
topaneu_center2_ct_134,gradcam,10,-2.5271,0.074,-1.9654,0.1229,-0.0489,-0.5617,-0.0153,0.4962,0.4962
topaneu_center2_ct_134,cross_attention,1,-2.5271,0.074,-2.0837,0.1107,-0.0367,-0.4434,-1.1615,0.2384,0.2384
topaneu_center2_ct_134,cross_attention,5,-2.5271,0.074,-1.6839,0.1566,-0.0826,-0.8432,4.919,0.9927,0.9927
topaneu_center2_ct_134,cross_attention,10,-2.5271,0.074,-2.3315,0.0885,-0.0146,-0.1956,0.4342,0.6069,0.6069
topaneu_center2_ct_134,integrated_gradients,1,-2.5271,0.074,-2.5435,0.0729,0.0011,0.0164,2.7522,0.94,0.94
topaneu_center2_ct_134,integrated_gradients,5,-2.5271,0.074,-2.5633,0.0715,0.0024,0.0362,1.3989,0.802,0.802
topaneu_center2_ct_134,integrated_gradients,10,-2.5271,0.074,-2.5736,0.0709,0.0031,0.0465,-0.226,0.4437,0.4437
topaneu_center2_ct_134,random_control,1,-2.5271,0.074,-2.4959,0.0761,-0.0022,-0.0312,-1.7912,0.1429,0.1429
topaneu_center2_ct_134,random_control,5,-2.5271,0.074,-2.3807,0.0847,-0.0107,-0.1465,-1.5617,0.1734,0.1734
topaneu_center2_ct_134,random_control,10,-2.5271,0.074,-2.3701,0.0855,-0.0115,-0.1571,-1.7769,0.1447,0.1447
topaneu_center2_ct_137,gradcam,1,5.8902,0.9972,5.8688,0.9972,0.0001,0.0214,2.3753,0.9149,0.9149
topaneu_center2_ct_137,gradcam,5,5.8902,0.9972,6.0541,0.9977,-0.0004,-0.1639,0.23,0.5573,0.5573
topaneu_center2_ct_137,gradcam,10,5.8902,0.9972,6.3855,0.9983,-0.0011,-0.4953,2.6176,0.932,0.932
topaneu_center2_ct_137,cross_attention,1,5.8902,0.9972,2.6718,0.9353,0.0619,3.2184,2.0104,0.8819,0.8819
topaneu_center2_ct_137,cross_attention,5,5.8902,0.9972,-1.4801,0.1854,0.8118,7.3703,2.5596,0.9282,0.9282
topaneu_center2_ct_137,cross_attention,10,5.8902,0.9972,-1.1934,0.2326,0.7646,7.0836,5.0493,0.9936,0.9936
topaneu_center2_ct_137,integrated_gradients,1,5.8902,0.9972,2.6711,0.9353,0.0619,3.2191,2.0241,0.8833,0.8833
topaneu_center2_ct_137,integrated_gradients,5,5.8902,0.9972,-1.5078,0.1813,0.816,7.398,1.6153,0.8342,0.8342
topaneu_center2_ct_137,integrated_gradients,10,5.8902,0.9972,-1.2918,0.2155,0.7817,7.182,2.888,0.9473,0.9473
topaneu_center2_ct_137,random_control,1,5.8902,0.9972,5.0535,0.9937,0.0036,0.8367,-1.7073,0.1535,0.1535
topaneu_center2_ct_137,random_control,5,5.8902,0.9972,4.1999,0.9852,0.012,1.6903,-1.3047,0.2134,0.2134
topaneu_center2_ct_137,random_control,10,5.8902,0.9972,3.8762,0.9797,0.0175,2.014,-1.4386,0.1918,0.1918
