case_id,xai_method,perturbation_percentile,original_logit,original_prob,deletion_logit,deletion_prob,deletion_prob_drop,deletion_logit_drop,insertion_logit,insertion_prob,insertion_prob_retained
topaneu_center1_mr_033,cross_attention,5,4.246,0.9859,0.9813,0.7274,0.2585,3.2647,2.6628,0.9348,0.9348
topaneu_center1_mr_033,cross_attention,10,4.246,0.9859,-0.8318,0.3033,0.6826,5.0778,0.2855,0.5709,0.5709
topaneu_center1_mr_033,integrated_gradients,1,4.246,0.9859,1.9955,0.8803,0.1056,2.2505,0.6854,0.665,0.665
topaneu_center1_mr_033,integrated_gradients,5,4.246,0.9859,1.3641,0.7964,0.1894,2.8819,-1.1798,0.2351,0.2351
topaneu_center1_mr_033,integrated_gradients,10,4.246,0.9859,0.6274,0.6519,0.334,3.6186,3.5543,0.9722,0.9722
topaneu_center1_mr_033,random_control,1,4.246,0.9859,4.0239,0.9824,0.0035,0.2221,-1.3301,0.2091,0.2091
topaneu_center1_mr_033,random_control,5,4.246,0.9859,3.5952,0.9733,0.0126,0.6508,-1.0124,0.2665,0.2665
topaneu_center1_mr_033,random_control,10,4.246,0.9859,3.3287,0.9654,0.0205,0.9173,-0.2915,0.4276,0.4276
topaneu_center1_mr_056,gradcam,1,1.5196,0.8205,1.5265,0.8215,-0.001,-0.0069,-0.0003,0.4999,0.4999
topaneu_center1_mr_056,gradcam,5,1.5196,0.8205,1.9984,0.8806,-0.0602,-0.4788,-0.7811,0.3141,0.3141
topaneu_center1_mr_056,gradcam,10,1.5196,0.8205,2.0292,0.8838,-0.0634,-0.5096,-1.3515,0.2056,0.2056
topaneu_center1_mr_056,cross_attention,1,1.5196,0.8205,1.5599,0.8263,-0.0059,-0.0403,1.0841,0.7473,0.7473
topaneu_center1_mr_056,cross_attention,5,1.5196,0.8205,-1.6447,0.1618,0.6587,3.1643,0.8959,0.7101,0.7101
topaneu_center1_mr_056,cross_attention,10,1.5196,0.8205,-1.7319,0.1503,0.6701,3.2515,1.6474,0.8385,0.8385
topaneu_center1_mr_056,integrated_gradients,1,1.5196,0.8205,1.6804,0.843,-0.0225,-0.1608,1.0429,0.7394,0.7394
topaneu_center1_mr_056,integrated_gradients,5,1.5196,0.8205,-1.503,0.182,0.6385,3.0226,1.0972,0.7497,0.7497
topaneu_center1_mr_056,integrated_gradients,10,1.5196,0.8205,-1.4058,0.1969,0.6236,2.9254,1.112,0.7525,0.7525
topaneu_center1_mr_056,random_control,1,1.5196,0.8205,1.7023,0.8458,-0.0254,-0.1828,-1.6055,0.1672,0.1672
topaneu_center1_mr_056,random_control,5,1.5196,0.8205,1.765,0.8538,-0.0334,-0.2454,-1.4526,0.1896,0.1896
topaneu_center1_mr_056,random_control,10,1.5196,0.8205,1.7837,0.8562,-0.0357,-0.2641,-1.1624,0.2382,0.2382
